Sensor, Dato, fecha
1,1,22cm,2021-03-02 20:21:56
2,1,174.67689514160156cm,2021-03-02 20:55:47
3,1,175.1062273979187cm,2021-03-02 20:55:58
4,1,174.23120737075806cm,2021-03-02 21:00:44
5,3,22°C//40%,2021-03-02 21:00:44
6,1,175.56418180465698cm,2021-03-02 21:00:50
7,3,22°C//39%,2021-03-02 21:00:50
8,1,174.31707382202148cm,2021-03-02 21:06:08
9,3,22°C//39%,2021-03-02 21:06:08
10,1,175.48649311065674cm,2021-03-02 21:11:11
11,3,22°C//39%,2021-03-02 21:11:11
12,1,174.652361869812cm,2021-03-02 21:11:17
13,3,22°C//40%,2021-03-02 21:11:17
14,1,174.1535186767578cm,2021-03-02 21:13:24
15,3,22°C//40%,2021-03-02 21:13:24
16,1,174.2107629776001cm,2021-03-02 21:51:12
17,3,22°C//40%,2021-03-02 21:51:12
18,1,174.27209615707397cm,2021-03-02 21:51:18
19,3,22°C//40%,2021-03-02 21:51:18
20,1,176.82764530181885cm,2021-03-03 12:26:33
21,3,21°C//44%,2021-03-03 12:26:33
22,1,174.77911710739136cm,2021-03-03 12:31:22
23,3,22°C//43%,2021-03-03 12:31:22
24,1,174.32525157928467cm,2021-03-03 12:31:28
25,3,22°C//43%,2021-03-03 12:31:28
26,1,175.3597378730774cm,2021-03-03 12:39:22
27,3,0°C//0%,2021-03-03 12:39:22
28,1,174.452006816864cm,2021-03-03 14:35:52
29,3,21°C//43%,2021-03-03 14:35:52
30,1,174.9590277671814cm,2021-03-03 14:35:58
31,3,21°C//42%,2021-03-03 14:35:58
